id_cliente,nome_cliente,email,saldo_da_conta,tem_cartao_credito,tem_seguro,tem_clube_livelo,bandeira_cartao,nome_cartao_credito,qto_tempo_sem_movimentar_conta,opt_in_out,idade,genero,profissao,renda_presumida,id_endereco,cep_num,cep_formatado,uf,cidade,bairro,tipo_logradouro,logradouro,latitude,longitude,h3_res6,h3_res8
26,Camila Barbosa,22540.5404@email.com,190557,Sim,Sim,Sim,Mastercard,Connect,26,Sim,72,M,Prof Liberal,10000,26,20020000,20020-000,RJ,RIO DE JANEIRO,CENTRO,AVENIDA,ERASMO BRAGA,-23.63404882848343,-44.2564624587449,86a8a544fffffff,88a8a54413fffff
27,Carlos Lima,carlos.9014@email.com,70904,Sim,Nao,Nao,VISA,Gold,82,Sim,77,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
28,Helena Melo,23142.1424@email.com,208431,Nao,Sim,Sim,null,null,110,Sim,31,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
29,Patricia Nascimento,23212.2126@email.com,111284,Sim,Nao,Nao,VISA,Infinite,13,Sim,19,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
30,Claudia Pereira,24381.3812@email.com,118481,Sim,Nao,Sim,VISA,Infinite,23,Nao,60,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
31,Fernando Teixeira,24432.4327@email.com,30062,Sim,Sim,Sim,VISA,DUX,97,Sim,58,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
32,Renata Pereira,25707.7070@email.com,199692,Nao,Sim,Sim,null,null,10,Sim,37,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
33,Vanessa Oliveira,25851.8515@email.com,111789,Nao,Sim,Sim,null,null,60,Sim,52,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
34,Thiago Moreira,25917.9178@email.com,92039,Sim,Nao,Sim,VISA,DUX,110,Sim,23,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
35,Larissa Teixeira,26094.0947@email.com,96599,Sim,Nao,Sim,VISA,Platinum,143,Sim,41,F,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
36,Marcos Pereira,26424.4247@email.com,179647,Nao,Nao,Sim,null,null,110,Sim,35,M,Prof Liberal,6000,36,20020090,20020-090,RJ,RIO DE JANEIRO,CENTRO,PRACA,MINISTRO EDUARDO ESPINOLA,-24.8255188710574,-45.1000495832683,86a98ba57ffffff,88a98ba543fffff
37,Helena Almeida,26439.4390@email.com,146171,Sim,Sim,Sim,VISA,Platinum,49,Sim,23,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
38,Diego Ribeiro,26703.7030@email.com,33726,Nao,Sim,Sim,null,null,1,Sim,65,F,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
39,Maria Barbosa,28323.3233@email.com,40341,Sim,Sim,Sim,VISA,Gold,127,Sim,58,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
40,Claudia Teixeira,28744.7440@email.com,33783,Nao,Nao,Nao,null,null,23,Nao,27,F,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
41,Vanessa Santos,28754.7543@email.com,114575,Nao,Sim,Nao,null,null,65,Sim,35,M,Prof Liberal,11000,41,20021030,20021-030,RJ,RIO DE JANEIRO,GLORIA,JARDIM,DOS ARTISTAS,-24.05450342484207,-51.528651468489144,86a82acc7ffffff,88a82acc27fffff
42,Camila Carvalho,29086.0861@email.com,79145,Nao,Sim,Sim,null,null,38,Sim,19,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
43,Tatiana Moreira,29182.1820@email.com,40548,Sim,Sim,Sim,VISA,Connect,0,Sim,48,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
44,Maria Araujo,30202.2027@email.com,82381,Nao,Sim,Sim,null,null,105,Nao,42,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
45,Marcos Souza,30378.3788@email.com,175967,Nao,Sim,Sim,null,null,5,Nao,40,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
46,Juliana Gomes,30777.7779@email.com,124374.5,Sim,Nao,Sim,VISA,DUX,112,Sim,51,M,Funcionario Publico,5000,46,20021080,20021-080,RJ,RIO DE JANEIRO,CENTRO,BECO,DOS CARMELITAS,-20.53874106678424,-52.40916254999596,86a856d1fffffff,88a856d1a3fffff
47,Natalia Ribeiro,31148.1484@email.com,139177,Sim,Sim,Nao,VISA,DUX,128,Nao,86,M,Autonomo,21000,47,20021090,20021-090,RJ,RIO DE JANEIRO,CENTRO,PRACA,DEODORO,-22.416405649006492,-49.82958727211742,86a81d91fffffff,88a81d91a9fffff
48,Fernanda Santos,31300.3002@email.com,112403,Sim,Sim,Sim,VISA,Infinite,90,Sim,56,F,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
49,Carolina Barbosa,31897.8974@email.com,83438,Sim,Sim,Sim,VISA,Platinum,20,Sim,20,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
50,Patricia Pereira,32209.2093@email.com,15591.5,Sim,Sim,Sim,VISA,Gold,118,Sim,77,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
51,Camila Nascimento,33292.2925@email.com,54418,Sim,Sim,Sim,Mastercard,Platinum,136,Sim,64,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
52,Bruno Oliveira,33616.6166@email.com,43905,Nao,Sim,Nao,null,null,39,Nao,42,M,Prof Liberal,8000,52,20021140,20021-140,RJ,RIO DE JANEIRO,GLORIA,AVENIDA,INFANTE DOM HENRIQUE,-24.143261360570868,-49.35022638234778,86a800507ffffff,88a8005015fffff
53,Vanessa Ferreira,33839.8393@email.com,7049,Sim,Nao,Nao,VISA,Gold,51,Sim,46,F,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
54,Jorge Silva,33884.8841@email.com,27973,Sim,Nao,Nao,VISA,Platinum,10,Sim,21,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
55,Larissa Lima,33972.9721@email.com,149906,Nao,Sim,Sim,null,null,88,Sim,54,M,Estudante,5000,55,20021170,20021-170,RJ,RIO DE JANEIRO,CENTRO,LARGO,DA LAPA,-20.776500831138613,-47.07328088548509,86a81a4d7ffffff,88a81a4d05fffff
56,Gabriela Silva,34225.2258@email.com,34608,Sim,Nao,Sim,VISA,Gold,43,Sim,26,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
57,Simone Souza,34267.2671@email.com,59173,Nao,Sim,Sim,null,null,77,Sim,63,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
58,Fernanda Gomes,34806.8067@email.com,75743,Nao,Nao,Sim,null,null,148,Sim,68,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
59,Gabriela Araujo,34942.9421@email.com,118128,Sim,Sim,Nao,Mastercard,Gold,61,Nao,27,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
60,Ana Oliveira,ana.0530@email.com,4480,Sim,Sim,Sim,Mastercard,Connect,100,Sim,69,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
61,Priscila Moreira,36173.1732@email.com,37645,Nao,Sim,Sim,null,null,104,Sim,41,M,Estudante,2000,61,20021230,20021-230,RJ,RIO DE JANEIRO,CENTRO,LARGO,DA MISERICORDIA,-21.656390554503094,-49.240627146044574,86a818b77ffffff,88a818b75bfffff
62,Patricia Costa,36786.7868@email.com,159644,Sim,Sim,Nao,Mastercard,Infinite,70,Sim,36,M,Prof Liberal,13000,62,20021240,20021-240,RJ,RIO DE JANEIRO,CENTRO,LADEIRA,DA MISERICORDIA,-20.56048468432021,-46.433461567153756,86a8a918fffffff,88a8a918c1fffff
63,Fernanda Oliveira,36997.9973@email.com,74803,Sim,Sim,Nao,Mastercard,Infinite,122,Sim,79,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
64,Tatiana Rodrigues,38057.0578@email.com,21528,Sim,Sim,Nao,Mastercard,DUX,52,Sim,43,F,Funcionario Publico,19000,64,20021260,20021-260,RJ,RIO DE JANEIRO,CENTRO,RUA,MORAIS E VALE,-24.5124034796818,-47.881740389180564,86a81580fffffff,88a81580e1fffff
65,Gabriela Santos,38544.5447@email.com,15928,Nao,Sim,Sim,null,null,86,Sim,61,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
66,Maria Rodrigues,38572.5723@email.com,40641,Sim,Sim,Sim,VISA,Connect,137,Sim,25,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
67,Helena Carvalho,38624.6241@email.com,71329,Sim,Nao,Sim,VISA,Gold,133,Sim,37,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
68,Matheus Pereira,39091.0916@email.com,77698,Sim,Sim,Sim,Mastercard,Infinite,14,Sim,34,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
69,Simone Teixeira,39199.1998@email.com,37313,Nao,Nao,Sim,null,null,147,Sim,52,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
70,Renata Santos,39419.4193@email.com,29972,Sim,Sim,Nao,VISA,DUX,17,Sim,46,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
71,Fernanda Almeida,39613.6138@email.com,63843.5,Nao,Nao,Sim,null,null,120,Nao,26,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
72,Carolina Moreira,40334.3346@email.com,199138,Sim,Sim,Sim,Mastercard,Infinite,33,Sim,80,F,Funcionario Publico,10000,72,20021340,20021-340,RJ,RIO DE JANEIRO,CENTRO,PRACA,SENADOR SALGADO FILHO,-23.365398002660264,-53.010946257219025,86a82b147ffffff,88a82b1451fffff
73,Beatriz Melo,40434.4345@email.com,12527,Sim,Nao,Nao,VISA,Connect,54,Sim,63,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
74,Helena Teixeira,40726.7268@email.com,103709.5,Sim,Sim,Sim,Mastercard,Gold,54,Sim,78,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
75,Carolina Rodrigues,41013.0135@email.com,100878,Sim,Sim,Nao,Mastercard,Gold,136,Sim,45,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
76,Priscila Silva,41350.3503@email.com,174916,Nao,Sim,Nao,null,null,23,Sim,38,M,Autonomo,1000,76,20021380,20021-380,RJ,RIO DE JANEIRO,CENTRO,PRACA,VIRGILIO DE MELO FRANCO,-24.804462688085106,-49.44693638375171,86a804797ffffff,88a8047901fffff
77,Larissa Santos,41519.5199@email.com,106136.5,Sim,Sim,Nao,VISA,Platinum,122,Nao,46,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
78,Larissa Nascimento,41827.8279@email.com,23246,Sim,Nao,Sim,VISA,Infinite,24,Sim,65,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
79,Marcos Araujo,41912.9127@email.com,152486.5,Sim,Sim,Sim,VISA,Connect,63,Sim,35,F,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
80,Carolina Oliveira,42922.9229@email.com,27218,Sim,Sim,Nao,Mastercard,Connect,9,Sim,50,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
81,Carolina Santos,43089.0899@email.com,81938,Nao,Sim,Sim,null,null,8,Sim,50,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
82,Pedro Rodrigues,44173.1731@email.com,37303,Sim,Nao,Nao,VISA,Gold,138,Sim,58,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
83,Natalia Carvalho,46004.0040@email.com,154483,Sim,Nao,Nao,VISA,Gold,52,Sim,28,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
84,Claudia Martins,46634.6344@email.com,87674,Sim,Sim,Nao,Mastercard,Connect,128,Sim,86,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
85,Lucas Carvalho,46813.8138@email.com,205872,Sim,Sim,Nao,Mastercard,Infinite,112,Sim,56,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
86,Priscila Almeida,47612.6121@email.com,112963.5,Sim,Sim,Sim,VISA,Platinum,135,Nao,51,M,Funcionario Publico,9000,86,20030020,20030-020,RJ,RIO DE JANEIRO,CENTRO,AVENIDA,PRESIDENTE WILSON - ATE 164/165,-24.663483568112888,-46.29381554791953,86a814477ffffff,88a8144767fffff
87,Helena Santos,47884.8847@email.com,82654,Nao,Sim,Nao,null,null,140,Sim,42,M,Aposentado,14000,87,20030021,20030-021,RJ,RIO DE JANEIRO,CENTRO,AVENIDA,PRESIDENTE WILSON - DE 166/167 AO FIM,-22.07956486438022,-51.319350368925285,86a808c87ffffff,88a808c86bfffff
88,Juliana Teixeira,48260.2607@email.com,37790,Sim,Sim,Sim,Mastercard,DUX,108,Sim,77,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
89,Ana Carvalho,ana.5513@email.com,167985,Sim,Sim,Nao,VISA,DUX,0,Nao,23,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
90,Carolina Araujo,48673.6734@email.com,92278,Sim,Nao,Sim,Mastercard,DUX,90,Sim,83,F,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
91,Isabela Carvalho,48854.8546@email.com,178597,Sim,Sim,Sim,VISA,Infinite,47,Sim,65,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
92,Juliana Silva,49912.9125@email.com,145142,Nao,Sim,Sim,null,null,14,Sim,82,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
93,Gabriela Araujo,49976.9769@email.com,5628,Sim,Sim,Sim,VISA,Platinum,3,Nao,41,M,Estudante,22000,93,20030070,20030-070,RJ,RIO DE JANEIRO,CENTRO,AVENIDA,CALOGERAS,-22.990450987677733,-47.016175667266445,86a811497ffffff,88a8114911fffff
94,Andre Barbosa,50203.2033@email.com,202383,Sim,Sim,Sim,Mastercard,Connect,13,Nao,35,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
95,Priscila Teixeira,50974.9749@email.com,148476,Sim,Sim,Sim,Mastercard,DUX,115,Sim,39,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
96,Andre Teixeira,51894.8940@email.com,7281,Sim,Sim,Sim,Mastercard,Gold,140,Sim,71,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
97,Priscila Martins,52389.3894@email.com,129900.5,Sim,Nao,Sim,Mastercard,Gold,27,Sim,49,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
98,Beatriz Carvalho,53259.2594@email.com,55187,Nao,Nao,Sim,null,null,140,Nao,51,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
99,Rafael Melo,53315.3152@email.com,98226,Sim,Sim,Sim,VISA,Platinum,59,Sim,81,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
100,Helena Lima,53980.9808@email.com,191634.5,Nao,Nao,Sim,null,null,1,Sim,24,M,Autonomo,2000,100,20030140,20030-140,RJ,RIO DE JANEIRO,CENTRO,PRACA,QUATRO DE JULHO,-23.745605560889885,-46.11452807206814,86a8105afffffff,88a8105ad7fffff
101,Helena Melo,54716.7163@email.com,105231,Sim,Sim,Sim,Mastercard,Connect,29,Sim,63,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
102,Priscila Oliveira,54782.7824@email.com,38872.5,Nao,Nao,Nao,null,null,66,Sim,57,M,Prof Liberal,6000,102,20031001,20031-001,RJ,RIO DE JANEIRO,CENTRO,AVENIDA,ALMIRANTE BARROSO - DE 56 A 78 - LADO PAR,-20.285212161192845,-51.68791116417326,86a80b647ffffff,88a80b6467fffff
103,Fernanda Martins,55391.3911@email.com,31624,Sim,Sim,Sim,VISA,DUX,117,Sim,81,F,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
104,Fernanda Gomes,55604.6044@email.com,149783,Sim,Sim,Sim,Mastercard,Gold,96,Sim,44,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
105,Leonardo Souza,55795.7952@email.com,185959,Sim,Sim,Sim,Mastercard,Connect,51,Sim,25,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
106,Gustavo Ferreira,56220.2201@email.com,183505,Sim,Sim,Sim,Mastercard,Gold,137,Sim,74,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
107,Renato Carvalho,56391.3915@email.com,88097,Sim,Sim,Sim,VISA,Gold,82,Sim,75,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
108,Carolina Oliveira,56508.5087@email.com,51998,Sim,Nao,Sim,VISA,Infinite,27,Sim,39,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
109,Simone Carvalho,56910.9108@email.com,167502,Nao,Nao,Sim,null,null,54,Sim,23,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
110,Natalia Martins,57116.1169@email.com,44987,Sim,Nao,Nao,Mastercard,Infinite,61,Sim,63,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
111,Renata Lima,57763.7632@email.com,189834,Sim,Sim,Sim,Mastercard,Infinite,117,Sim,43,M,Autonomo,22000,111,20031030,20031-030,RJ,RIO DE JANEIRO,CENTRO,RUA,EMBAIXADOR REGIS DE OLIVEIRA,-25.017115242310727,-45.63114686160144,86a989747ffffff,88a989741dfffff
112,Vanessa Silva,58018.0181@email.com,45069,Sim,Nao,Sim,VISA,Infinite,123,Sim,18,F,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
113,Patricia Almeida,58071.0717@email.com,150224,Sim,Sim,Sim,VISA,Connect,71,Sim,19,M,Prof Liberal,11000,113,20031050,20031-050,RJ,RIO DE JANEIRO,CENTRO,PRACA,FLORIANO,-20.80297298848856,-51.0584452167006,86a80a2cfffffff,88a80a2c97fffff
114,Rafael Gomes,58465.4654@email.com,131355,Nao,Sim,Sim,null,null,37,Sim,40,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
115,Camila Ferreira,59385.3859@email.com,59045,Sim,Sim,Sim,Mastercard,Infinite,22,Sim,26,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
116,Fernanda Ferreira,59550.5502@email.com,30943,Sim,Sim,Sim,Mastercard,Platinum,35,Sim,41,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
117,Claudia Costa,59876.8761@email.com,148456,Nao,Sim,Sim,null,null,127,Sim,64,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
118,Camila Ribeiro,60343.3436@email.com,29614,Sim,Nao,Nao,VISA,Platinum,25,Sim,37,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
119,Diego Oliveira,60391.3914@email.com,94275,Nao,Nao,Sim,null,null,127,Sim,87,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
120,Gustavo Melo,60469.4696@email.com,65849,Sim,Sim,Sim,Mastercard,Platinum,149,Sim,62,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
121,Fernanda Almeida,61180.1808@email.com,94714,Sim,Nao,Sim,Mastercard,DUX,93,Sim,80,M,Prof Liberal,22000,121,20031130,20031-130,RJ,RIO DE JANEIRO,CENTRO,RUA,ALCINDO GUANABARA,-19.845262304929577,-52.65414618748553,86a856777ffffff,88a8567723fffff
122,Samuel Almeida,61362.3626@email.com,110594,Nao,Sim,Sim,null,null,57,Nao,43,F,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
123,Thiago Carvalho,61483.4833@email.com,121488,Sim,Sim,Sim,Mastercard,Infinite,101,Sim,57,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
124,Simone Carvalho,62169.1699@email.com,143293,Nao,Sim,Sim,null,null,118,Sim,86,F,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
125,Patricia Martins,63148.1481@email.com,158584,Sim,Sim,Nao,Mastercard,Gold,23,Sim,21,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
126,Denise Martins,63189.1893@email.com,19435,Nao,Nao,Sim,null,null,135,Sim,80,F,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
127,Rafael Ribeiro,63262.2626@email.com,53386,Nao,Nao,Nao,null,null,36,Sim,53,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
128,Jorge Martins,64274.2742@email.com,45685.5,Sim,Sim,Nao,VISA,Gold,52,Sim,62,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
129,Camila Ribeiro,64826.8261@email.com,98708,Nao,Sim,Sim,null,null,71,Sim,69,M,Prof Liberal,18000,129,20031160,20031-160,RJ,RIO DE JANEIRO,CENTRO,PRACA,MONSENHOR FRANCISCO PINTO,-19.96892615615509,-49.351051830005396,86a8e6cc7ffffff,88a8e6cc01fffff
130,Simone Silva,65278.2789@email.com,145853,Nao,Sim,Sim,null,null,95,Sim,43,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
131,Carolina Gomes,66041.0411@email.com,26838,Sim,Sim,Sim,VISA,Gold,121,Sim,21,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
132,Renata Rodrigues,67112.1125@email.com,59412,Nao,Sim,Sim,null,null,102,Sim,74,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
133,Gustavo Rodrigues,67197.1971@email.com,144069,Nao,Nao,Sim,null,null,92,Nao,80,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
134,Denise Martins,67527.5276@email.com,153970.5,Nao,Nao,Sim,null,null,88,Sim,81,M,Prof Liberal,1000,134,20031203,20031-203,RJ,RIO DE JANEIRO,CENTRO,RUA,SENADOR DANTAS - ATE 56 - LADO PAR,-25.02171460580298,-50.98053547167079,86a805907ffffff,88a8059069fffff
135,Renata Martins,67786.7867@email.com,179119,Sim,Sim,Sim,VISA,Connect,26,Sim,58,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
